"FirstName","LastName","SessionID","PageNumber","Organization","OrganizerNum","FullName"
"Ruben","Seyer","T1-2","","Chalmers University of Technology and University of Gothenburg","",""
"Philippe","Gagnon","T1-3","","Université de Montréal","",""
"Attila","Lovas","T10-1","","Hun-Ren Alfréd Rényi Institute of Mathematics","",""
"Sara","Pérez-Vieites","T10-2","","Aalto University","",""
"Fabio","Zoccolan","T11-1","","EPFL","",""
"Anke","Wiese","T11-2","","Heriot-Watt University","",""
"Riccardo","Saporiti","T11-3","","EPFL","",""
"Leon","Wilkosz","T11-4","","King Abdullah University of Science and Technology","",""
"Adrien","Richou","T12-1","","Université de Bordeaux","",""
"Abdujabar","Rasulov","T12-2","","University of World Economy and Diplomacy","",""
"Miguel","Alvarez","T12-3","","King Abdullah University of Science and Technology","",""
"Håkon","Hoel","T12-4","","University of Oslo","",""
"Noufel","Frikha","T12-5","","Université Paris 1 Panthéon Sorbonne","",""
"Frédéric","Blondeel","T13-1","","Kuleuven and Unife","",""
"Du","Ouyang","T13-2","","Tsinghua University","",""
"Wei","Cai","T13-3","","Southern Methodist University","",""
"Yiqing","Zhou","T13-4","","KU Leuven","",""
"Kevin","Bitterlich","T14-1","","TU Bergakademie Freiberg","",""
"Reuben","Cohn-Gordon","T14-2","","University of California, Berkeley","",""
"Philip","Schaer","T14-3","","Friedrich Schiller University Jena","",""
"Annabelle","Carrell","T14-4","","University of Cambridge","",""
"Philippe","Blondeel","T15-1","","Belgian Military Academy","",""
"Rino","Persiani","T15-2","","INFN Catania","",""
"Prasanth","Shyamsundar","T15-3","","Fermi National Accelerator Laboratory","",""
"Nicole","Aretz","T15-4","","University of Texas at Austin","",""
"Kazeem","Adeleke","T16-1","","University of the West of England","",""
"Carles","Domingo-Enrich","T16-2","","Microsoft Research New England","",""
"Christopher","Draper","T16-3","","Florida State University","",""
"Yiming","Xu","T16-4","","University of Kentucky","",""
"Lorenzo","Nagar","T2-1","","Basque Center for Applied Mathematics","",""
"Hamza","Ruzayqat","T2-2","","King Abdullah University of Science and Technology","",""
"Arghya","Datta","T2-3","","Université de Montréal","",""
"Jimmy","Lederman","T2-4","","University of Chicago","",""
"Yashveer","Kumar","T3-1","","INESC-ID","",""
"Serena","Fattori","T3-2","","Istituto Nazionale di Fisica Nucleare (INFN)","",""
"Toon","Ingelaere","T3-3","","KU Leuven","",""
"Muhammad","Noor ul Amin","T3-4","","COMSATS University Islamabad, Lahore","",""
"Chi-Ok","Hwang","T3-5","","Gwangju Institute of Science and Technology","",""
"Christian","Weiss","T4-1","","Ruhr West University of Applied Sciences","",""
"Xiaoda","Xu","T4-2","","Suqian University","",""
"Sifan","Liu","T4-3","","Flatiron Institute","",""
"Ambrose","Emmett-Iwaniw","T4-4","","University of Waterloo","",""
"Peter","Kritzer","T5-1","","Austrian Academy of Sciences","",""
"Yang","Liu","T5-2","","King Abdullah University of Science and Technology","",""
"Jakob","Dilen","T5-3","","KU Leuven","",""
"Aadit","Jain","T5-4","","Rancho Bernardo High School","",""
"Akash","Sharma","T6-1","","Chalmers Institute of Technology","",""
"Joonha","Park","T6-2","","University of Kansas","",""
"Arne","Bouillon","T6-3","","KU Leuven","",""
"Alex","Shkolnik","T6-4","","University of California, Santa Barbara","",""
"Kun-Lin","Kuo","T7-1","","National University of Kaohsiung","",""
"Sascha","Holl","T7-2","","Max Planck Institute for Informatics","",""
"Josephine","Westermann","T7-3","","Heidelberg University","",""
"Soumyadip","Ghosh","T7-4","","IBM Research","",""
"Matyokub","Bakoev","T8-1","","MGIMO, Tashkent","",""
"Vincent","Zhang","T8-2","","University of Southern California","",""
"Hao","Quan","T8-3","","University of Waterloo","",""
"Nicola","Branchini","T9-1","","University of Edinburgh","",""
"Daniel","Yukimura","T9-2","","Impa, Rio de Janeiro","",""
"Amit","Subrahmanya","T9-3","","Virginia Tech","",""
"Hongmei","Chi","","","Florida Aandm University","",""
"Steven","Damelin","","","Zbmath Open, European Mathematical Society","",""
"Claude","Hall","","","Illinois Institute of Technology","",""
"Toni","Karvonen","","","LUT University","",""
"Larysa","Matiukha","","","Illinois Institute of Technology","",""
"Gregory","Seljak","","","Universite de Montreal","",""
